date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-08-04,P,乾坤期货,7,7,32473,1341,13
2026-08-04,P,永安期货,19920,-1700,10449,-253,14
2026-08-04,P,银河期货,14810,-474,13284,570,15
2026-08-04,P,摩根大通,15062,3106,10913,624,16
2026-08-04,P,浙商期货,6677,61,14151,-65,17
2026-08-04,P,中金财富,1377,236,17959,-533,18
2026-08-04,P,瑞达期货,6164,565,13103,-744,19
2026-08-04,P,建信期货,4641,-105,14267,24,20
2026-08-04,Y,中粮期货,52112,-2153,226159,-310,1
2026-08-04,Y,国泰君安,122126,-1997,86349,-3046,2
2026-08-04,Y,国投期货,31602,2802,106051,3609,3
2026-08-04,Y,广发期货,41721,619,90278,1907,4
2026-08-04,Y,东证期货,58559,-2116,72526,-1372,5
2026-08-04,Y,中信期货,61088,847,66619,-3360,6
2026-08-04,Y,海通期货,51388,-674,39127,24,7
2026-08-04,Y,摩根大通,41107,1862,28226,-1516,8
2026-08-04,Y,永安期货,33562,-972,26825,-1928,9
2026-08-04,Y,宏源期货,19974,266,37402,-232,10
2026-08-04,Y,中信建投,32710,500,24116,-33,11
2026-08-04,Y,招商期货,24656,556,31233,23,12
2026-08-04,Y,南华期货,33849,-995,19652,228,13
2026-08-04,Y,乾坤期货,30626,2653,16799,-1988,14
2026-08-04,Y,华泰期货,22733,-1597,20151,-29,15
2026-08-04,Y,一德期货,27097,-522,12089,1009,16
2026-08-04,Y,银河期货,19731,-360,10864,-310,17
2026-08-04,Y,中泰期货,21333,-335,5033,-463,18
2026-08-04,Y,建信期货,15340,374,10332,89,19
2026-08-04,Y,西部期货,24416,-147,0,0,20
2026-08-05,OI,中信期货,59882,90,48565,470,1
2026-08-05,OI,中粮期货,24146,-110,83537,-793,2
2026-08-05,OI,国投安信,23995,545,67847,252,3
2026-08-05,OI,中信建投,37543,-3245,42098,-3160,4
2026-08-05,OI,东证期货,31825,-1623,23366,1716,5
2026-08-05,OI,华泰期货,24437,-205,30527,-2268,6
2026-08-05,OI,国泰君安,32832,-788,18550,1062,7
2026-08-05,OI,浙商期货,14034,97,32848,114,8
2026-08-05,OI,摩根大通,42939,510,2699,1322,9
2026-08-05,OI,五矿期货,23650,2558,21260,1263,10
2026-08-05,OI,乾坤期货,40817,-2909,0,0,11
2026-08-05,OI,南华期货,12720,14,17602,-96,12
2026-08-05,OI,一德期货,19558,-229,8990,1596,13
2026-08-05,OI,鲁证期货,12386,3561,15647,3317,14
2026-08-05,OI,银河期货,9757,2278,10650,-464,15
2026-08-05,OI,广发期货,11158,574,7170,197,16
2026-08-05,OI,长江期货,9224,3534,9093,3443,17
2026-08-05,OI,中投天琪,11266,583,0,0,18
2026-08-05,OI,瑞银期货,9531,7,0,0,19
2026-08-05,OI,中国国际,4132,1191,2626,1155,20
2026-08-05,P,国泰君安,99738,3107,78249,469,1
2026-08-05,P,中信期货,43362,4517,73120,-4344,2
2026-08-05,P,东证期货,47401,6318,51182,946,3
2026-08-05,P,一德期货,52900,50,43192,1458,4
2026-08-05,P,中粮期货,35545,-905,37490,-380,5
2026-08-05,P,海通期货,30545,-738,30820,99,6
2026-08-05,P,中信建投,22687,-566,30508,2094,7
2026-08-05,P,国投期货,32316,4539,19707,1919,8
2026-08-05,P,广发期货,26059,481,17517,1037,9
2026-08-05,P,华泰期货,22087,-2164,16542,-1201,10
2026-08-05,P,招商期货,23797,29,13094,485,11
2026-08-05,P,永安期货,24923,5003,10651,202,12
2026-08-05,P,国富期货,6684,-2190,25008,295,13
2026-08-05,P,乾坤期货,1081,214,27025,-5427,14
2026-08-05,P,摩根大通,18069,-243,8800,-2113,15
2026-08-05,P,银河期货,7615,-735,13828,526,16
2026-08-05,P,浙商期货,6762,85,14270,119,17
2026-08-05,P,建信期货,4525,-109,14554,287,18
2026-08-05,P,瑞达期货,6039,-125,12978,-125,19
2026-08-05,P,中金财富,1326,-65,16191,-1768,20
2026-08-05,Y,中粮期货,56107,2446,234630,6919,1
2026-08-05,Y,国泰君安,124898,-1443,91245,727,2
2026-08-05,Y,国投期货,34169,2543,111961,5910,3
2026-08-05,Y,中信期货,63115,5121,76242,7604,4
2026-08-05,Y,东证期货,62214,1638,75526,999,5
2026-08-05,Y,广发期货,37829,-2,90536,-1741,6
2026-08-05,Y,海通期货,53792,501,41052,32,7
2026-08-05,Y,摩根大通,39598,-1509,29499,1273,8
2026-08-05,Y,永安期货,33715,153,28282,998,9
2026-08-05,Y,中信建投,34718,469,25710,68,10
2026-08-05,Y,宏源期货,22024,841,37657,2081,11
2026-08-05,Y,招商期货,26384,304,30830,1444,12
2026-08-05,Y,南华期货,33612,-1660,21518,-2536,13
2026-08-05,Y,乾坤期货,30618,-8,18847,2048,14
2026-08-05,Y,华泰期货,23462,708,19690,-464,15
2026-08-05,Y,一德期货,27820,904,11884,-205,16
2026-08-05,Y,中泰期货,22040,707,8253,645,17
2026-08-05,Y,银河期货,20515,784,9570,-1295,18
